# Existing localized docs strings that still match English source.
# Keep this file sorted. Remove entries as translated docs improve.
# Format: relative/localized/path.md|English source string
packages/core/docs/content/locales/ar-SA/actions-access-control.mdx|Needs approval
packages/core/docs/content/locales/ar-SA/actions-access-control.mdx|subject: Following up on the proposal
packages/core/docs/content/locales/ar-SA/dispatch.mdx|"summarize last week's signups"
packages/core/docs/content/locales/ar-SA/file-uploads.mdx|No provider
packages/core/docs/content/locales/ar-SA/frames.mdx|type: \"code\"
packages/core/docs/content/locales/ar-SA/messaging.mdx|Microsoft Teams
packages/core/docs/content/locales/ar-SA/progress.mdx|Ingest 1M rows
packages/core/docs/content/locales/ar-SA/progress.mdx|Triage 128 unread emails
packages/core/docs/content/locales/ar-SA/progress.mdx|Writing to target DB
packages/core/docs/content/locales/ar-SA/recurring-jobs.mdx|, recompute
packages/core/docs/content/locales/ar-SA/template-calendar-developers.mdx|confirmed | cancelled
packages/core/docs/content/locales/ar-SA/template-calendar-developers.mdx|none | google_meet | zoom | custom
packages/core/docs/content/locales/ar-SA/template-calendar-developers.mdx|viewer | editor | admin
packages/core/docs/content/locales/ar-SA/template-content.mdx|At a glance · owner, window, status
packages/core/docs/content/locales/ar-SA/template-content.mdx|Engineering wiki
packages/core/docs/content/locales/ar-SA/template-content.mdx|Launch goals
packages/core/docs/content/locales/ar-SA/template-content.mdx|Q3 Roadmap
packages/core/docs/content/locales/ar-SA/template-content.mdx|Reading list
packages/core/docs/content/locales/ar-SA/template-content.mdx|Ship the onboarding flow, reduce setup time, and document owner handoffs.
packages/core/docs/content/locales/ar-SA/template-content.mdx|Top objectives
packages/core/docs/content/locales/ar-SA/template-content.mdx|Weekly sync
packages/core/docs/content/locales/ar-SA/template-content.mdx|Workstreams table
packages/core/docs/content/locales/ar-SA/template-slides.mdx|"10-slide pitch deck"
packages/core/docs/content/locales/ar-SA/toolkit-capability-packages.mdx|Creative Context
packages/core/docs/content/locales/ar-SA/toolkit-context-knowledge.mdx|Context X-Ray
packages/core/docs/content/locales/ar-SA/using-your-agent.mdx|**Shared awareness is two-way.** You and the agent both read and write `application_state`, so "reply to this" or "summarize the selection" just works — and when the agent navigates, the real UI moves with it.
packages/core/docs/content/locales/de-DE/actions-access-control.mdx|Needs approval
packages/core/docs/content/locales/de-DE/actions-access-control.mdx|subject: Following up on the proposal
packages/core/docs/content/locales/de-DE/agent-surfaces.mdx|Agent-Native routes
packages/core/docs/content/locales/de-DE/agent-surfaces.mdx|Generative UI
packages/core/docs/content/locales/de-DE/agent-surfaces.mdx|Native Chat UI
packages/core/docs/content/locales/de-DE/agent-surfaces.mdx|route · selection
packages/core/docs/content/locales/de-DE/dispatch.mdx|"summarize last week's signups"
packages/core/docs/content/locales/de-DE/file-uploads.mdx|No provider
packages/core/docs/content/locales/de-DE/frames.mdx|type: \"code\"
packages/core/docs/content/locales/de-DE/messaging.mdx|Microsoft Teams
packages/core/docs/content/locales/de-DE/progress.mdx|Ingest 1M rows
packages/core/docs/content/locales/de-DE/progress.mdx|Triage 128 unread emails
packages/core/docs/content/locales/de-DE/progress.mdx|Writing to target DB
packages/core/docs/content/locales/de-DE/recurring-jobs.mdx|, recompute
packages/core/docs/content/locales/de-DE/template-calendar-developers.mdx|none | google_meet | zoom | custom
packages/core/docs/content/locales/de-DE/template-content.mdx|At a glance · owner, window, status
packages/core/docs/content/locales/de-DE/template-content.mdx|Engineering wiki
packages/core/docs/content/locales/de-DE/template-content.mdx|Launch goals
packages/core/docs/content/locales/de-DE/template-content.mdx|Q3 Roadmap
packages/core/docs/content/locales/de-DE/template-content.mdx|Reading list
packages/core/docs/content/locales/de-DE/template-content.mdx|Ship the onboarding flow, reduce setup time, and document owner handoffs.
packages/core/docs/content/locales/de-DE/template-content.mdx|Top objectives
packages/core/docs/content/locales/de-DE/template-content.mdx|Weekly sync
packages/core/docs/content/locales/de-DE/template-content.mdx|Workstreams table
packages/core/docs/content/locales/de-DE/template-forms.mdx|"add an NPS question"
packages/core/docs/content/locales/de-DE/template-slides.mdx|"10-slide pitch deck"
packages/core/docs/content/locales/de-DE/toolkit-capability-packages.mdx|Creative Context
packages/core/docs/content/locales/de-DE/using-your-agent.mdx|**Shared awareness is two-way.** You and the agent both read and write `application_state`, so "reply to this" or "summarize the selection" just works — and when the agent navigates, the real UI moves with it.
packages/core/docs/content/locales/es-ES/actions-access-control.mdx|Needs approval
packages/core/docs/content/locales/es-ES/actions-access-control.mdx|subject: Following up on the proposal
packages/core/docs/content/locales/es-ES/agent-surfaces.mdx|Generative UI
packages/core/docs/content/locales/es-ES/agent-surfaces.mdx|Native Chat UI
packages/core/docs/content/locales/es-ES/dispatch.mdx|"summarize last week's signups"
packages/core/docs/content/locales/es-ES/file-uploads.mdx|No provider
packages/core/docs/content/locales/es-ES/frames.mdx|type: \"code\"
packages/core/docs/content/locales/es-ES/messaging.mdx|Microsoft Teams
packages/core/docs/content/locales/es-ES/progress.mdx|Ingest 1M rows
packages/core/docs/content/locales/es-ES/progress.mdx|Triage 128 unread emails
packages/core/docs/content/locales/es-ES/progress.mdx|Writing to target DB
packages/core/docs/content/locales/es-ES/recurring-jobs.mdx|, recompute
packages/core/docs/content/locales/es-ES/template-calendar-developers.mdx|confirmed | cancelled
packages/core/docs/content/locales/es-ES/template-calendar-developers.mdx|none | google_meet | zoom | custom
packages/core/docs/content/locales/es-ES/template-calendar-developers.mdx|viewer | editor | admin
packages/core/docs/content/locales/es-ES/template-content.mdx|At a glance · owner, window, status
packages/core/docs/content/locales/es-ES/template-content.mdx|Engineering wiki
packages/core/docs/content/locales/es-ES/template-content.mdx|Launch goals
packages/core/docs/content/locales/es-ES/template-content.mdx|Q3 Roadmap
packages/core/docs/content/locales/es-ES/template-content.mdx|Reading list
packages/core/docs/content/locales/es-ES/template-content.mdx|Ship the onboarding flow, reduce setup time, and document owner handoffs.
packages/core/docs/content/locales/es-ES/template-content.mdx|Top objectives
packages/core/docs/content/locales/es-ES/template-content.mdx|Weekly sync
packages/core/docs/content/locales/es-ES/template-content.mdx|Workstreams table
packages/core/docs/content/locales/es-ES/template-forms.mdx|"add an NPS question"
packages/core/docs/content/locales/es-ES/template-slides.mdx|"10-slide pitch deck"
packages/core/docs/content/locales/es-ES/toolkit-capability-packages.mdx|Creative Context
packages/core/docs/content/locales/es-ES/toolkit-context-knowledge.mdx|Context X-Ray
