# Existing localized documentation files missing for English source docs.
# Keep this file sorted. Remove entries as localized coverage improves.
# Format: locale|relative/doc-slug
ar-SA|agent-native-config
ar-SA|automation-connectors
ar-SA|docs-components
ar-SA|durable-background-runs
ar-SA|environment-variables
ar-SA|external-agents-catalog
ar-SA|generative-ui
ar-SA|http-api
ar-SA|integrations
ar-SA|messaging-internals
ar-SA|messaging-recipes
ar-SA|organizations-teams-permissions
ar-SA|template-analytics-connectors
ar-SA|template-analytics-dashboards
ar-SA|template-analytics-developers
ar-SA|template-analytics-monitoring-and-sessions
ar-SA|template-assets-developers
ar-SA|template-assets-generation
ar-SA|template-assets-integrations
ar-SA|template-assets-presets
ar-SA|template-brain-agent
ar-SA|template-brain-developers
ar-SA|template-brain-knowledge
ar-SA|template-brain-sources
ar-SA|template-chat-developers
ar-SA|template-clips-ai-and-editing
ar-SA|template-clips-capture-everywhere
ar-SA|template-clips-developers
ar-SA|template-clips-sharing-and-teams
ar-SA|template-content-databases
ar-SA|template-content-developers
ar-SA|template-content-editing
ar-SA|template-content-sync
ar-SA|template-design-brand-and-figma
ar-SA|template-design-collaboration-and-full-apps
ar-SA|template-design-developers
ar-SA|template-design-quality-and-components
ar-SA|template-dispatch-developers
ar-SA|template-dispatch-messaging-routing
ar-SA|template-dispatch-operations
ar-SA|template-dispatch-vault-integrations
ar-SA|template-forms-developers
ar-SA|template-mail-agent
ar-SA|template-mail-developers
ar-SA|template-mail-drafts-and-queue
ar-SA|template-mail-inbox
ar-SA|template-plan-automations
ar-SA|template-plan-developers
ar-SA|template-plan-local-and-desktop
ar-SA|template-plan-review-workflow
ar-SA|template-slides-agent
ar-SA|template-slides-design-and-media
ar-SA|template-slides-developers
ar-SA|template-slides-editing
ar-SA|toolkit-agent-ux
ar-SA|toolkit-collaboration
ar-SA|toolkit-command-navigation
ar-SA|toolkit-comments-review
ar-SA|toolkit-history
ar-SA|toolkit-observability
ar-SA|toolkit-org-team
ar-SA|toolkit-resources
ar-SA|toolkit-settings
ar-SA|toolkit-setup-connections
ar-SA|toolkit-sharing
ar-SA|toolkit-ui
de-DE|agent-native-config
de-DE|automation-connectors
de-DE|docs-components
de-DE|durable-background-runs
de-DE|environment-variables
de-DE|external-agents-catalog
de-DE|generative-ui
de-DE|http-api
de-DE|integrations
de-DE|messaging-internals
de-DE|messaging-recipes
de-DE|organizations-teams-permissions
de-DE|template-analytics-connectors
de-DE|template-analytics-dashboards
de-DE|template-analytics-developers
de-DE|template-analytics-monitoring-and-sessions
de-DE|template-assets-developers
de-DE|template-assets-generation
de-DE|template-assets-integrations
de-DE|template-assets-presets
de-DE|template-brain-agent
de-DE|template-brain-developers
de-DE|template-brain-knowledge
de-DE|template-brain-sources
de-DE|template-chat-developers
de-DE|template-clips-ai-and-editing
de-DE|template-clips-capture-everywhere
de-DE|template-clips-developers
de-DE|template-clips-sharing-and-teams
de-DE|template-content-databases
de-DE|template-content-developers
de-DE|template-content-editing
de-DE|template-content-sync
de-DE|template-design-brand-and-figma
